Date : 2021-06-24 10:56:01
Directory : c:\Users\kk\Desktop\outstanding-crm-front\src
Total : 321 files,  38319 codes, 640 comments, 3504 blanks, all 42463 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\homepage\uploadimg\store.js                                                                                        | JavaScript |         81 |          1 |          9 |         91 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\homepage\uploadimg\style.css                                                                                       | CSS        |          2 |          0 |          0 |          2 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\store.js                                                                                                           | JavaScript |         15 |          1 |          5 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\menulayout\store.js                                                                                                | JavaScript |         83 |          0 |         26 |        109 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\menulayout\style.css                                                                                               | CSS        |         39 |          0 |          6 |         45 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\office\office.css                                                                                                  | CSS        |          4 |          0 |          1 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\office\office.js                                                                                                   | JavaScript |        320 |         14 |         18 |        352 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\office\table.js                                                                                                    | JavaScript |        135 |          4 |          4 |        143 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\project\project.css                                                                                                | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\project\project.js                                                                                                 | JavaScript |        312 |         15 |         19 |        346 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\project\table.js                                                                                                   | JavaScript |        135 |          3 |          4 |        142 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\store.js                                                                                          | JavaScript |        217 |          0 |         46 |        263 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\paging\store.js                                                                                   | JavaScript |        113 |         18 |         10 |        141 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\paging\style.css                                                                                  | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\sdcontent\store.js                                                                                | JavaScript |        134 |          0 |          7 |        141 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\sdcontent\style.css                                                                               | CSS        |         12 |          0 |          3 |         15 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\sdtable\store.js                                                                                  | JavaScript |        108 |          1 |         13 |        122 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\sdtable\style.css                                                                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\staff&department\style.css                                                                                         | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\style.css                                                                                                          | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\systemMgt\store.js                                                                                                 | JavaScript |        312 |         15 |         17 |        344 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\systemMgt\system.css                                                                                               | CSS        |        145 |          0 |          2 |        147 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\backstageMgt\systemMgt\table.js                                                                                                 | JavaScript |        135 |          3 |          4 |        142 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Alertmodal\component\searchtabs\store.js                                                                 | JavaScript |         27 |          0 |          8 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Alertmodal\component\searchtabs\style.css                                                                | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Alertmodal\component\searchtransfer\store.js                                                             | JavaScript |         50 |          0 |          7 |         57 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Alertmodal\component\searchtransfer\style.css                                                            | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Alertmodal\store.js                                                                                      | JavaScript |         28 |          0 |          7 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Alertmodal\style.css                                                                                     | CSS        |          5 |          0 |          2 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Creatpopover\store.js                                                                                    | JavaScript |         36 |          0 |          7 |         43 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Creatpopover\style.css                                                                                   | CSS        |         23 |          0 |          4 |         27 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Creatpopover\style.min.css                                                                               | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Creatpopover\style.scss                                                                                  | SCSS       |         26 |          0 |          3 |         29 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Drawercomponent\store.js                                                                                 | JavaScript |        145 |          0 |          6 |        151 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\Drawercomponent\style.css                                                                                | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\ParentMenu\store.js                                                                                      | JavaScript |         49 |          0 |          6 |         55 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\ParentMenu\style.css                                                                                     | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\sdtable\store.js                                                                                         | JavaScript |         97 |         14 |         12 |        123 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\sdtable\style.css                                                                                        | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\searchtransfer\store.js                                                                                  | JavaScript |         49 |          0 |          7 |         56 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\components\searchtransfer\style.css                                                                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\store.js                                                                                                            | JavaScript |         13 |          0 |          6 |         19 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\bO\store.js                                                                                    | JavaScript |        373 |          6 |         66 |        445 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\bO\js\store.js                                                                                 | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\bO\js\util.js                                                                                  | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\bO\style.css                                                                                   | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\clue\store.js                                                                                  | JavaScript |        373 |          6 |         66 |        445 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\clue\js\store.js                                                                               | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\clue\js\util.js                                                                                | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\clue\style.css                                                                                 | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contacts\store.js                                                                              | JavaScript |        373 |          6 |         66 |        445 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contacts\js\store.js                                                                           | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contacts\js\util.js                                                                            | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contacts\style.css                                                                             | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contract\store.js                                                                              | JavaScript |        373 |          6 |         66 |        445 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contract\js\store.js                                                                           | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contract\js\util.js                                                                            | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\contract\style.css                                                                             | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\customer\store.js                                                                              | JavaScript |        373 |          6 |         66 |        445 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\customer\js\store.js                                                                           | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\customer\js\util.js                                                                            | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\customer\style.css                                                                             | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\footleft\store.js                                                    | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\footleft\style.css                                                   | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\footright\store.js                                                   | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\footright\style.css                                                  | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO\store.js                                        | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO\style.css                                       | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts\store.js                                  | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts\style.css                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract\store.js                                  | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract\style.css                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable\store.js             | JavaScript |         94 |          0 |          3 |         97 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable\style.css            | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\store.js                                  | JavaScript |         42 |          0 |         11 |         53 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\style.css                                 | CSS        |          4 |          0 |          0 |          4 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup\store.js                                  | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup\style.css                                 | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo\store.js                                   | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo\style.css                                  | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\store.js                                                     | JavaScript |         30 |          0 |          5 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\style.css                                                    | CSS        |         14 |          0 |          3 |         17 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topright\store.js                                                    | JavaScript |          8 |          0 |          4 |         12 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\component\topright\style.css                                                   | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\store.js                                                                       | JavaScript |         58 |          0 |         19 |         77 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\dashboardlayout\style.css                                                                      | CSS        |         44 |          1 |          3 |         48 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\opensea\store.js                                                                               | JavaScript |        373 |          6 |         66 |        445 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\opensea\js\store.js                                                                            | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\opensea\js\util.js                                                                             | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\opensea\style.css                                                                              | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\payment\store.js                                                                               | JavaScript |        373 |          6 |         66 |        445 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\payment\js\store.js                                                                            | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\payment\js\util.js                                                                             | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\payment\style.css                                                                              | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\prodocutTable\store.js                                                                         | JavaScript |        516 |         10 |         93 |        619 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\prodocutTable\js\store.js                                                                      | JavaScript |        152 |          0 |          2 |        154 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\prodocutTable\js\util.js                                                                       | JavaScript |          5 |          0 |          0 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\prodocutTable\style.css                                                                        | CSS        |         32 |          6 |          1 |         39 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\todolist\store.js                                                                              | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\component\todolist\style.css                                                                             | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\store.js                                                                                                 | JavaScript |        108 |          0 |         15 |        123 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\menulayout\style.css                                                                                                | CSS        |          9 |          0 |          0 |          9 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\pages\customerMgt\style.css                                                                                                           | CSS        |          4 |          0 |          6 |         10 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\router\store.js                                                                                                                       | JavaScript |        103 |         12 |          8 |        123 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\test.js                                                                                                                               | JavaScript |         93 |          0 |          4 |         97 |
| Total                                                                                                                                                                               |            |     38,319 |        640 |      3,504 |     42,463 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
